id,Variant Inventory Qty,year,Image Src,Body (HTML),Type,Title,author,Vendor,Handle,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
20,13,1994,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Toni Morrison</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Classics,Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,beloved-plume-contemporary-fiction-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
21,4,1999,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: The Onion</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Literary Fiction,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press,our-dumb-century-the-onion-presents-100-years-of-headlines-from-america-s-finest-news-source,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
22,17,2001,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Celia Brooks Brown</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Classics,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,new-vegetarian-bold-and-beautiful-recipes-for-every-occasion,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
23,3,2003,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: J. R. Parrish</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Detective and Mystery,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House,if-i-d-known-then-what-i-know-now-why-not-learn-from-the-mistakes-of-others-you-can-t-afford-to-make-them-all-yourself,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
24,1,2000,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mary-Kate &amp; Ashley Olsen</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Romance,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,HarperEntertainment,mary-kate-amp-ashley-switching-goals-mary-kate-and-ashley-starring-in-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
25,8,1999,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Robynn Clairday</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Literary Fiction,Tell Me This Isn't Happening,Robynn Clairday,Scholastic,tell-me-this-isn-t-happening,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
26,15,1998,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Kathleen Duey</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Poetry,Flood : Mississippi 1927,Kathleen Duey,Aladdin,flood-mississippi-1927,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
27,16,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Rich Shapero</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Literary Fiction,Wild Animus,Rich Shapero,Too Far,wild-animus,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
28,18,1997,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Michael Crichton</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Action and Adventure,Airframe,Michael Crichton,Ballantine Books,airframe,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
29,8,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: MICHAEL CRICHTON</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fantasy,Timeline,MICHAEL CRICHTON,Ballantine Books,timeline,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
30,10,1996,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: C.S. Lewis</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Comic Book or Graphic Novel,OUT OF THE SILENT PLANET,C.S. Lewis,Scribner,out-of-the-silent-planet,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
31,14,2003,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: ARTHUR PHILLIPS</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",History,Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,prague-a-novel,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
32,18,1998,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Stephan Jaramillo</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",History,Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group,chocolate-jesus,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
33,14,2002,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mordecai Richler</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Self-Help,Wie Barney es sieht.,Mordecai Richler,LÃ?ÃÂ¼bbe,wie-barney-es-sieht-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
34,9,2001,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Eleanor Cooney</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Suspense and Thrillers,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann,der-fluch-der-kaiserin-ein-richter-di-roman-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
35,17,1991,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Charlotte Link</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Suspense and Thrillers,Sturmzeit. Roman.,Charlotte Link,Goldmann,sturmzeit-roman-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
36,13,2000,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Richard North Patterson</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Memoir,Tage der Unschuld.,Richard North Patterson,Goldmann,tage-der-unschuld-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
37,9,2000,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mark Salzman</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Biographies and Autobiographies,Lying Awake,Mark Salzman,Alfred A. Knopf,lying-awake,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
38,16,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Harper Lee</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Horror,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,to-kill-a-mockingbird,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
39,13,2002,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: LAURA HILLENBRAND</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Biographies and Autobiographies,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,seabiscuit-an-american-legend,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
40,5,1993,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Barbara Kingsolver</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",History,Pigs in Heaven,Barbara Kingsolver,Harpercollins,pigs-in-heaven,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
41,15,1996,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jo Dereske</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Action and Adventure,Miss Zukas and the Raven's Dance,Jo Dereske,Avon,miss-zukas-and-the-raven-s-dance,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
42,4,1983,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jane Austen</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fantasy,Pride and Prejudice,Jane Austen,Bantam,pride-and-prejudice,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
43,1,1979,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dolores Krieger</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Women's Fiction,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Fireside,the-therapeutic-touch-how-to-use-your-hands-to-help-or-to-heal,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
44,5,1995,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Anne Rivers Siddons</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Women's Fiction,Downtown,Anne Rivers Siddons,HarperTorch,downtown,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
45,7,2000,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dean R. Koontz</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Science Fiction,Icebound,Dean R. Koontz,Bantam Books,icebound,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
46,16,1994,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mary Higgins Clark</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Women's Fiction,I'll Be Seeing You,Mary Higgins Clark,Pocket,i-ll-be-seeing-you,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
47,4,2001,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dean Koontz</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Biographies and Autobiographies,From the Corner of His Eye,Dean Koontz,Bantam Books,from-the-corner-of-his-eye,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
48,3,2002,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Patricia Cornwell</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Poetry,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,isle-of-dogs,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
49,15,2002,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: J.D. Robb</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Memoir,Purity in Death,J.D. Robb,Berkley Publishing Group,purity-in-death,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
50,14,1997,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Maeve Binchy</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Historical Fiction,This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell,this-year-it-will-be-different-and-other-stories,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
51,15,1999,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Laura J. Mixon</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",History,Proxies,Laura J. Mixon,Tor Books,proxies,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
52,4,2000,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Tim Lahaye</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Science Fiction,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,left-behind-a-novel-of-the-earth-s-last-days-left-behind-1-,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
53,9,1999,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: JOHN GRISHAM</b>
  <br/>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Literary Fiction,The Street Lawyer,JOHN GRISHAM,Dell,the-street-lawyer,,TRUE,,,,,,,,0,,deny,manual,99,119.0,True,True,,1.0,,FALSE,,,,,,,,,,,,,,,,,kg,
