Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
shes-leaving-home,Shes Leaving Home,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Edwina Currie</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Little Brown UK Ltd,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0751522732.01.LZZZZZZZ.jpg?v=1699762866,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
kidnapped-and-catriona-world-classics,Kidnapped and Catriona (World Classics),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Robert Louis Stevenson</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Oxford University Press,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,7,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0192817264.01.LZZZZZZZ.jpg?v=1699762865,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
rain-uk,Rain Uk,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Stephen Gallagher</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Trafalgar Square,,Classics,"",true,Title,Default Title,,,,,,0.0,,7,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0450542912.01.LZZZZZZZ.jpg?v=1699762862,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
rabbit-proof-fence-the-true-story-of-one-of-the-greatest-escapes-of-all-time,Rabbit-Proof Fence : The True Story of One of the Greatest Escapes of  All Time,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Doris Pilkington</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Miramax,,Classics,"",true,Title,Default Title,,,,,,0.0,,13,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0786887842.01.LZZZZZZZ.jpg?v=1699762860,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
self-analysis-a-simple-self-help-volume-of-tests-and-techniques-based-on-the-discoveries-contained-in-dianetics,Self analysis: A simple self-help volume of tests and techniques based on the discoveries contained in dianetics,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: L. Ron Hubbard</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Bridge Publications,,Fantasy,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0884041093.01.LZZZZZZZ.gif?v=1699762859,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
maiden-of-the-mist-a-legend-of-niagara-falls,Maiden of the Mist: A Legend of Niagara Falls,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Veronika Martenova Charles</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Stoddart Kids,,History,"",true,Title,Default Title,,,,,,0.0,,20,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0773762078.01.LZZZZZZZ.jpg?v=1699762857,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-book-of-illusions-thorndike-americana,The Book of Illusions (Thorndike Americana),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Paul Auster</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Thorndike Press,,Poetry,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0786248688.01.LZZZZZZZ.jpg?v=1699762855,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-book-of-bebb,The BOOK OF BEBB,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Frederick Buechner</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Scribner,,Fantasy,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0689109865.01.LZZZZZZZ.gif?v=1699762853,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
senza-sangue,Senza Sangue,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Alessandro Baricco</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Rizzoli Publications,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/881787017X.01.LZZZZZZZ.jpg?v=1699762851,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
bar-sport-duemila-i-narratori-feltrinelli,Bar sport duemila (I narratori/Feltrinelli),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Stefano Benni</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Feltrinelli,,Historical Fiction,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/8807015293.01.LZZZZZZZ.jpg?v=1699762849,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-complete-book-of-food-counts-complete-book-of-food-counts,The Complete Book of Food Counts (Complete Book of Food Counts),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Corinne T. Netzer</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Dell,,Romance,"",true,Title,Default Title,,,,,,0.0,,5,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0440221102.01.LZZZZZZZ.jpg?v=1699762847,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
one-for-the-money-a-stephanie-plum-novel,One for the Money (A Stephanie Plum Novel),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Janet Evanovich</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",St. Martin's Paperbacks,,Romance,"",true,Title,Default Title,,,,,,0.0,,10,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0312990456.01.LZZZZZZZ.jpg?v=1699762845,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
wedding-day-murder-a-lucy-stone-mystery-meier-leslie-lucy-stone-mystery,Wedding Day Murder: A Lucy Stone Mystery (Meier; Leslie. Lucy Stone Mystery.),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Leslie Meier</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Kensington Publishing Corporation,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,5,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1575666529.01.LZZZZZZZ.jpg?v=1699762843,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-war-against-population-the-economics-and-ideology-of-population-control,The War Against Population: The Economics and Ideology of Population Control,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jacqueline Kasun</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Ignatius Press,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0898707129.01.LZZZZZZZ.jpg?v=1699762841,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-enthusiasms-of-roberston-davies,The Enthusiasms of Roberston Davies,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Robertson Davies</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Penguin USA,,Essays,"",true,Title,Default Title,,,,,,0.0,,4,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0670829943.01.LZZZZZZZ.gif?v=1699762839,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-missionary-s-catechism,The Missionary's Catechism,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Russell L. Ford</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",US,,Poetry,"",true,Title,Default Title,,,,,,0.0,,18,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0965712516.01.LZZZZZZZ.gif?v=1699762837,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
father-mcbride-s-family-catechism-based-on-the-catechism-of-the-catholic-church,Father McBride's Family Catechism: Based on the Catechism of the Catholic Church,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Alfred McBride</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Our Sunday Visitor,,True Crime,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0879739304.01.LZZZZZZZ.jpg?v=1699762835,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
totally-useless-office-skills-75-great-ways-to-play-at-work,Totally Useless Office Skills: 75 Great Ways to Play at Work,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Rick Davis</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Hobblebush Books,,Historical Fiction,"",true,Title,Default Title,,,,,,0.0,,14,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0963641328.01.LZZZZZZZ.jpg?v=1699762833,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
irish-eyes-a-nuala-anne-mcgrail-novel-nuala-anne-mcgrail-novels-paperback,Irish Eyes: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Andrew M. Greeley</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Forge,,Self-Help,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0812590244.01.LZZZZZZZ.jpg?v=1699762831,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-cat-who-played-brahms,The Cat Who Played Brahms,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Lilian Jackson Braun</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Jove Books,,Poetry,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0515090506.01.LZZZZZZZ.jpg?v=1699762829,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
birds-bees-and-babies-1994,Birds Bees And Babies 1994,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Nora Roberts</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Silhouette,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/037348285X.01.LZZZZZZZ.gif?v=1699762826,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
back-when-we-were-grownups-a-novel-ballantine-reader-s-circle,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: ANNE TYLER</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Ballantine Books,,History,"",true,Title,Default Title,,,,,,0.0,,16,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0345446860.01.LZZZZZZZ.jpg?v=1699762824,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
short-stories-of-ernest-hemingway-a-scribner-classic,Short Stories of Ernest Hemingway (A Scribner classic),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Ernest Hemingway</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Simon &amp; Schuster,,Suspense and Thrillers,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0020518609.01.LZZZZZZZ.gif?v=1699762822,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
frankenstein-complete-authoritative-text-with-biographical-historical-and-cultural-contexts-critical-history-and-essays-from-contemporary-critic-tive-case-studies-in-contemporary-criticism,Frankenstein: Complete; Authoritative Text With Biographical; Historical; and Cultural Contexts; Critical History; and Essays from Contemporary Critic ... tive (Case Studies in Contemporary Criticism),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Mary Wollstonecraft Shelley</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Bedford Books,,Detective and Mystery,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/031219126X.01.LZZZZZZZ.gif?v=1699762820,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
howl-and-other-poems-pocket-poets,Howl and Other Poems (Pocket Poets),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Allen Ginsberg</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",City Lights Publishers,,Poetry,"",true,Title,Default Title,,,,,,0.0,,9,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0872860175.01.LZZZZZZZ.jpg?v=1699762818,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-florabama-ladies-auxiliary-amp-sewing-circle,The Florabama Ladies' Auxiliary &amp; Sewing Circle,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Lois Battle</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Penguin Books,,Women's Fiction,"",true,Title,Default Title,,,,,,0.0,,10,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0142000361.01.LZZZZZZZ.jpg?v=1699762816,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-torn-skirt,The Torn Skirt,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Rebecca Godfrey</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Perennial,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0060094850.01.LZZZZZZZ.jpg?v=1699762814,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
diamond-spur,Diamond Spur,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Diana Palmer</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Mira,,Poetry,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1551669501.01.LZZZZZZZ.jpg?v=1699762812,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
nina-adolescence,Nina: Adolescence,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Amy Hassinger</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Listen &amp; Live Audio,,History,"",true,Title,Default Title,,,,,,0.0,,11,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1593160127.01.LZZZZZZZ.jpg?v=1699762810,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
big-stone-gap-a-novel-ballantine-reader-s-circle,Big Stone Gap: A Novel (Ballantine Reader's Circle),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Adriana Trigiani</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Ballantine Books,,Memoir,"",true,Title,Default Title,,,,,,0.0,,16,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0345438329.01.LZZZZZZZ.jpg?v=1699762808,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
tattoo-girl,Tattoo Girl,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Brooke Stevens</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",St. Martin's Griffin,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0312269102.01.LZZZZZZZ.jpg?v=1699762805,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
snow-queen,Snow Queen,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Joan D. Vinge</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Bantam Doubleday Dell,,Historical Fiction,"",true,Title,Default Title,,,,,,0.0,,17,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0440177499.01.LZZZZZZZ.gif?v=1699762803,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-motley-fool-investment-guide-how-the-fool-beats-wall-streets-wise-men-and-how-you-can-too,The Motley Fool Investment Guide : How The Fool Beats Wall Streets Wise Men And How You Can Too,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: David Gardner</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fireside,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,10,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0743201736.01.LZZZZZZZ.jpg?v=1699762801,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
starting-your-marriage-right-lt-i-what-you-need-to-know-in-the-early-years-to-make-it-last-a-lifetime-lt-i,Starting Your Marriage Right &lt;i>what You Need To Know In The Early Years To Make It Last A Lifetime&lt;/i>,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dennis Rainey</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Nelson Books,,Memoir,"",true,Title,Default Title,,,,,,0.0,,4,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0785268030.01.LZZZZZZZ.jpg?v=1699762799,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
on-becoming-baby-wise-the-classic-reference-guide-used-by-over-1-000-000-parents-worldwide,On Becoming Baby Wise: The Classic Reference Guide Used by Over 1;000;000 Parents Worldwide,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Gary Ezzo</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Hawks Flight &amp; Association,,True Crime,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0971453209.01.LZZZZZZZ.jpg?v=1699762797,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
on-becoming-baby-wise-parenting-your-pre-toddler-5-15-months-on-becoming,On Becoming Baby Wise: Parenting Your Pre Toddler 5-15 Months (On Becoming. . .),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Gary Ezzo</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Hawks Flight &amp; Association,,Biographies and Autobiographies,"",true,Title,Default Title,,,,,,0.0,,20,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0971453217.01.LZZZZZZZ.jpg?v=1699762795,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
